scenario,scenario_label,algorithm,algorithm_label,metric,metric_label,mean,ci95,n_seeds,n_processes,quantum,context_switch_cost,io_devices
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),4.194026212,0.056621722983962564,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),4.241295149,0.0572997597751452,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),4.8114850239999996,0.07797734821526477,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),4.264864716,0.056075496571385094,1000,1000,4,0,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,177.86122000000003,2.3310011620696693,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround,Turnaround medio,178.383558,2.3224740813106215,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround,Turnaround medio,162.854892,1.8683876434766657,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround,Turnaround medio,198.37284899999997,2.6268739675420836,1000,1000,4,0,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),109.126192431,1.563727565496272,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),178.39728389799998,2.388989294525535,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),75.760864812,0.2121435942177067,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),198.312185035,2.696485237657904,1000,1000,4,0,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),254.00406060900002,3.242810917077426,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),178.131556441,2.3437244566654556,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),317.295988414,5.595610115799832,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),197.91330232299998,2.656805337714156,1000,1000,4,0,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,context_switches,Trocas de contexto,8302.312,16.970378571432853,1000,1000,4,0,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),36.400892424000006,0.35190608047445826,1000,1000,4,0,1
balanced,Aleatorio equilibrado,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),44.876836409000006,0.4221252097763553,1000,1000,4,0,1
balanced,Aleatorio equilibrado,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),10.675015348,0.33037801709041015,1000,1000,4,0,1
balanced,Aleatorio equilibrado,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),62.407427658,0.37954292644126547,1000,1000,4,0,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),4.607911572000001,0.06653248801514527,1000,1000,4,0,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),4.747081843,0.06687450222054289,1000,1000,4,0,1
cpu_bound,CPU-bound,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),4.879901373999999,0.07458778230946518,1000,1000,4,0,1
cpu_bound,CPU-bound,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),5.52586166,0.07997600600348923,1000,1000,4,0,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,243.44305799999998,3.4169867236096305,1000,1000,4,0,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround,Turnaround medio,234.675236,3.333661898434473,1000,1000,4,0,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround,Turnaround medio,217.317541,2.889817861566416,1000,1000,4,0,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround,Turnaround medio,289.333617,4.327127008745358,1000,1000,4,0,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),183.502407061,2.996619762347146,1000,1000,4,0,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),234.280397576,3.446500311369528,1000,1000,4,0,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),90.57033431199999,0.2641092782584082,1000,1000,4,0,1
