scenario,scenario_label,algorithm,algorithm_label,metric,metric_label,mean,ci95,n_seeds,n_processes,quantum,context_switch_cost,io_devices
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),7.4504656690000015,0.17759984613826268,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),7.541728386,0.17862132956700358,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),8.922383809,0.23396828236790596,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),50.881036593999994,1.2817883099501148,1000,1000,4,1,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,305.756786,7.16863735364683,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround,Turnaround medio,305.84541500000006,7.152532995514154,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround,Turnaround medio,266.974204,5.611571058039324,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround,Turnaround medio,2277.30451,58.27189532678369,1000,1000,4,1,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),196.726482754,6.072698668680873,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),305.65931558799997,7.238297025722461,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),82.083005842,0.23269478230104718,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),2275.123971949,58.529643026606756,1000,1000,4,1,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),421.9970550330001,8.33125576139116,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),305.63597098500003,7.131731622364007,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),627.3670989990001,18.02830991644609,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),2278.39466243,58.58797364437874,1000,1000,4,1,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,context_switches,Trocas de contexto,3002.369,2.7683206363150656,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,context_switches,Trocas de contexto,9254.694,11.685366617137836,1000,1000,4,1,1
balanced,Aleatorio equilibrado,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),37.897368863,0.3275538657841913,1000,1000,4,1,1
balanced,Aleatorio equilibrado,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),43.120896664,0.37690437444862307,1000,1000,4,1,1
balanced,Aleatorio equilibrado,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),7.401134541999999,0.23040017856958703,1000,1000,4,1,1
balanced,Aleatorio equilibrado,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),71.649875805,0.4887375174662249,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),5.866170086,0.10610308781484513,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),6.02551662,0.10645682443917444,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,avg_slowdown,Slowdown medio (auxiliar),6.227531887,0.11866097801476225,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_slowdown,Slowdown medio (auxiliar),65.03318264699999,1.640714109990263,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround,Turnaround medio,306.11495,5.3495688327364155,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround,Turnaround medio,295.952209,5.257972518267672,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround,Turnaround medio,271.062875,4.535787658532128,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround,Turnaround medio,3384.6408989999995,86.38698556529485,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),234.641001582,4.856766560872171,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),295.32616477199997,5.382365948109911,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),95.81645879800001,0.27810259347667016,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround_high_priority,Turnaround medio -- prioridade alta (<=3),3379.971647643,86.72757648396782,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),380.426473408,6.039931294316088,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),296.988739332,5.305969198384925,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),599.5773413740001,14.137256674596888,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,avg_turnaround_low_priority,Turnaround medio -- prioridade baixa (>=8),3392.88521753,87.11310465450248,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,context_switches,Trocas de contexto,1999.862,1.6022748149903474,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,context_switches,Trocas de contexto,13093.809,16.11546812434119,1000,1000,4,1,1
cpu_bound,CPU-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),jain_slowdown,Indice de Jain do slowdown (%),54.996032704,0.3170043095218528,1000,1000,4,1,1
cpu_bound,CPU-bound,fcfs,FCFS,jain_slowdown,Indice de Jain do slowdown (%),56.61918286,0.34798472962014304,1000,1000,4,1,1
cpu_bound,CPU-bound,priority,Prioridade,jain_slowdown,Indice de Jain do slowdown (%),15.749047398999998,0.32661241648355427,1000,1000,4,1,1
cpu_bound,CPU-bound,rr,Round Robin,jain_slowdown,Indice de Jain do slowdown (%),77.21148865800001,0.524803446506017,1000,1000,4,1,1
io_bound,I/O-bound,custom,Algoritmo proprio (Aging+Rajada Estimada),avg_slowdown,Slowdown medio (auxiliar),2.867802851,0.021783496121350117,1000,1000,4,1,1
io_bound,I/O-bound,fcfs,FCFS,avg_slowdown,Slowdown medio (auxiliar),2.874663458,0.021814237012636937,1000,1000,4,1,1
